x,y,z,id
105.7151314593,356.8505460934,161.0033530844,138.0000000000
220.7449318705,390.1501433375,162.5352276462,139.0000000000
72.7886802085,405.3059530829,163.2879022110,140.0000000000
128.2013206394,418.9641034518,161.4229566381,141.0000000000
142.6569137304,579.9599748233,161.4000170277,142.0000000000
283.2668126161,582.4992495743,161.6524596336,143.0000000000
65.8536984939,638.2139499858,161.8774272994,144.0000000000
13.6907948375,661.8083952886,161.9018182831,145.0000000000
184.7901284952,790.3143858090,163.5606109585,146.0000000000
4.8118246834,799.8004822118,163.1712915556,147.0000000000
177.5619157385,872.0949374808,162.2010854107,148.0000000000
183.8569449555,954.2185893137,163.1087931706,149.0000000000
148.8946528303,1027.8165971542,173.0585253094,150.0000000000
6.8362810394,1098.1690834759,159.6473837768,151.0000000000
132.8828101863,1125.6543432052,160.9017793169,152.0000000000
267.0375565065,278.8344376863,163.7974478490,153.0000000000
240.9073026963,369.8627354122,164.9387922355,154.0000000000
236.3664255081,418.6864889055,166.4159185957,155.0000000000
141.8589358949,466.0499994083,163.7388378240,156.0000000000
61.1717178468,467.1859248555,161.9322701624,157.0000000000
213.3077756790,524.5346775717,164.4431868838,158.0000000000
681.7769552733,539.4754356709,164.0309221425,159.0000000000
351.3767710407,597.5450880613,164.2055697339,160.0000000000
63.0415007754,623.5055131816,163.0071390141,161.0000000000
110.8608127060,631.0054922516,163.8706729308,162.0000000000
635.9549309481,633.7977200913,164.6682932219,163.0000000000
44.6022785958,637.8177708391,163.4458966761,164.0000000000
316.3583243744,650.5372555607,163.2435588508,165.0000000000
72.1884986235,662.8066003484,163.9964680489,166.0000000000
103.2760206622,669.4915680932,165.9546568387,167.0000000000
123.9053753412,694.6115322166,163.5113896216,168.0000000000
131.9005186613,702.2283663286,165.8168299044,169.0000000000
4.2124761582,705.2914565153,164.4118754859,170.0000000000
177.6893369840,774.6332698298,163.7833885300,171.0000000000
293.5561296562,799.3968636509,166.0655099002,172.0000000000
113.2003169923,816.5766678953,164.6472890668,173.0000000000
361.8614852269,1004.2328387707,164.6758265916,174.0000000000
311.2702930200,1053.0146537664,164.6510810544,175.0000000000
247.3337535346,1111.4644510816,164.4645306094,176.0000000000
86.1856544290,1123.0675348317,164.8033266664,177.0000000000
285.4915084025,118.9841322508,166.9609151960,178.0000000000
195.6702689264,208.2613673113,162.1426049990,179.0000000000
76.0366652700,252.6739247136,166.7574468085,180.0000000000
15.5728242933,324.8490894809,166.0198808730,181.0000000000
18.6648036164,369.2416800238,165.9967766150,182.0000000000
99.0328154768,376.4672989860,166.0729796169,183.0000000000
229.2320307131,466.9446658426,164.8870359507,184.0000000000
219.9887486440,472.2339688653,166.1008895639,185.0000000000
43.2381615852,528.1893189106,170.5567278172,186.0000000000
39.0846147126,533.6244107724,166.7371671286,187.0000000000
91.0024927985,548.2144103774,167.7849992799,188.0000000000
262.1013884336,560.6451890658,165.6827831109,189.0000000000
7.2840168112,596.9369230260,164.4413557776,190.0000000000
259.9401761823,605.9043476375,167.1498362860,191.0000000000
59.6677208063,607.8375366368,166.2769655314,192.0000000000
265.2320804441,645.6202411085,166.5351361533,193.0000000000
136.7252840128,681.1014421586,166.2443592520,194.0000000000
171.0392038194,694.0297342328,165.5276042569,195.0000000000
15.4430259016,723.8123878689,166.5135529123,196.0000000000
183.3535701120,729.2385123377,164.1331747762,197.0000000000
381.4017437828,733.5805798137,166.1175345552,198.0000000000
144.8696944707,734.9445573807,166.5474580990,199.0000000000
189.0850189792,735.4419738407,166.6142107991,200.0000000000
196.5554419170,757.1878801875,166.8144469526,201.0000000000
14.0471214519,803.2057125924,165.5584688438,202.0000000000
88.1320997025,856.1393128909,168.3108992653,203.0000000000
53.1798928063,857.2347691148,166.1200904447,204.0000000000
42.9381251473,861.7089418143,165.0151765154,205.0000000000
309.1282830906,869.7036879284,167.1006128410,206.0000000000
29.4584193516,1036.9248081002,166.6614595608,207.0000000000
64.0571214022,1062.9252520295,164.3765805658,208.0000000000
83.7752356752,291.7233009623,167.2490848481,209.0000000000
147.0980715295,372.2271344711,168.1953835562,210.0000000000
41.6423049289,372.8988761268,167.8662062161,211.0000000000
134.9226868312,428.0992256692,167.3837266088,212.0000000000
30.5810040480,436.4142728100,170.0782952788,213.0000000000
28.4498010929,449.3099659612,170.2990056301,214.0000000000
118.9483802059,467.8759468597,167.8767437610,215.0000000000
30.4261565615,482.4780695650,167.2281215574,216.0000000000
238.8763408425,493.0755329267,169.9331654464,217.0000000000
202.4609543431,506.9437395175,168.2149981019,218.0000000000
253.1538245425,548.8040236814,167.8231790456,219.0000000000
327.8046374149,555.7431135848,167.8583007828,220.0000000000
160.7293968812,586.6521533055,167.2703126144,221.0000000000
