x,y,z,id
5.2081667883,689.2007175519,153.5610710427,42.0000000000
214.1728403217,726.2906490523,149.6210989853,43.0000000000
80.1064020959,774.2937289971,151.4101587424,44.0000000000
131.2743244552,776.3555980630,156.6148891195,45.0000000000
611.6184246914,269.6068261539,153.6277867884,46.0000000000
67.0461543398,465.5209820330,167.0753184730,47.0000000000
139.1160558361,584.5653977883,154.4501936301,48.0000000000
158.1575756800,607.1677172541,154.9049038796,49.0000000000
186.5205957416,727.6884399506,156.8024808707,50.0000000000
93.2107194203,820.6259730561,154.0951773181,51.0000000000
95.5557775043,830.4567910212,154.5357756736,52.0000000000
37.6956013545,959.0334358931,152.8560678901,53.0000000000
72.2039972854,959.3548401102,155.4288963788,54.0000000000
191.0121427561,311.6270402150,157.1345999717,55.0000000000
69.1518031144,691.9917105275,157.1028907525,56.0000000000
290.4627821701,852.3629229326,156.2263929619,57.0000000000
285.1711202548,944.3523833082,155.5330109146,58.0000000000
102.1952082498,222.5863723128,158.3715708574,59.0000000000
111.3068927943,354.9272293279,158.5524401183,60.0000000000
149.4102988145,441.0151836975,158.0673557363,61.0000000000
99.3489364714,445.2486073261,153.4118529380,62.0000000000
158.8332539874,473.2987595546,160.1739272719,63.0000000000
123.4769703531,514.4496671492,157.6775728583,64.0000000000
15.9922126277,519.1280508389,158.7827929860,65.0000000000
29.1319150364,544.9348316465,158.9365009626,66.0000000000
106.9989135006,567.9670388405,159.0180935046,67.0000000000
59.1976856992,585.6004591029,157.9745857520,68.0000000000
184.7790989811,642.6350483241,158.4773138450,69.0000000000
11.2192884109,644.2036075308,151.4943313203,70.0000000000
347.6137063389,675.6718728556,157.6717756904,71.0000000000
117.8273450180,683.5699207026,158.8629587085,72.0000000000
101.7439332419,693.7835147010,156.8006460464,73.0000000000
155.6979740807,714.6513664220,157.7788924454,74.0000000000
6.3158526597,729.5254573781,159.1459222282,75.0000000000
22.3264663481,732.8386881550,159.9532226597,76.0000000000
39.7364249879,798.9795808383,157.3995432558,77.0000000000
27.3485531982,871.3943735983,157.0839837325,78.0000000000
530.5102515754,884.9408237939,159.1481531716,79.0000000000
29.0045709653,887.5392766276,158.8678687239,80.0000000000
94.4223320679,961.3163742946,158.2344822924,81.0000000000
162.7353166099,1015.0472793290,157.8194545090,82.0000000000
249.8327398207,1063.3305512083,158.7979753984,83.0000000000
54.8240721987,1162.9945047357,157.5481298859,84.0000000000
26.7876183711,395.7778540853,159.6737387143,85.0000000000
47.9863314833,430.1943932275,159.6920341082,86.0000000000
39.4660237313,527.0319370268,159.4389681329,87.0000000000
174.7176153256,687.9869901782,159.6987671071,88.0000000000
213.3923281840,697.0206765518,159.3902576535,89.0000000000
96.1572293337,711.3306671530,162.2074841517,90.0000000000
116.5037803738,754.2398859813,160.2613551402,91.0000000000
87.1322141456,760.6631346829,160.2710947072,92.0000000000
6.3534658374,824.4745948767,160.2598182055,93.0000000000
652.4180902613,850.2012114014,159.5763525996,94.0000000000
110.3313773251,882.1910321081,160.0362193682,95.0000000000
189.0638793616,955.6998130194,175.0663633332,96.0000000000
231.3006922669,970.6548665254,160.5445974576,97.0000000000
286.1204155508,992.7595184004,160.5700057172,98.0000000000
68.6776700871,1064.4130431202,159.8705505276,99.0000000000
81.0165103787,1076.1711337401,153.5781884586,100.0000000000
21.2603105273,1119.4804997363,161.0151265080,101.0000000000
190.5544386335,1143.7293478458,159.8036699698,102.0000000000
